TISSUE_ABBRV	TISSUE_NAME	SMTSD	TISSUE_RCOL	TISSUE_HARMEN	afc	tf_expr
1	ADPSBQ	Adipose_Subcutaneous	Adipose - Subcutaneous	tan1	Adipose_Subcutaneous	-0.686339663536	132.9
2	ADPVSC	Adipose_Visceral_Omentum	Adipose - Visceral (Omentum)	orange2	Adipose_Visceral	-0.886695100945	709.5
3	ADRNLG	Adrenal_Gland	Adrenal Gland	darkseagreen	Adrenal_Gland	-0.396110108836	84.575
4	ARTAORT	Artery_Aorta	Artery - Aorta	maroon4	Artery_Aorta	-0.760996104988	562.6
5	ARTCRN	Artery_Coronary	Artery - Coronary	coral2	Artery_Coronary	-0.332985957143	389.55
6	ARTTBL	Artery_Tibial	Artery - Tibial	red	Artery_Tibial	-0.308853428685	212.5
7	BREAST	Breast_Mammary_Tissue	Breast - Mammary Tissue	cyan3	Breast_Mammary_Tissue	-0.807518875945	191.7
8	BRNACC	Brain_Anterior_cingulate_cortex_BA24	Brain - Anterior cingulate cortex (BA24)	yellow2	Anterior Cingulate Cortex	-0.126250199364	22.4
9	BRNAMY	Brain_Amygdala	Brain - Amygdala	yellow2	Amygdala	-0.12700874016	13.41
10	BRNCDT	Brain_Caudate_basal_ganglia	Brain - Caudate (basal ganglia)	yellow2	Caudate	0.0692311076305	20.54
11	BRNCHA	Brain_Cerebellum	Brain - Cerebellum	yellow2	Cerebellum	-3.09991775876e-05	17.04
12	BRNCHB	Brain_Cerebellar_Hemisphere	Brain - Cerebellar Hemisphere	yellow2	Cerebellar Hemisphere	-0.00399973028037	19.07
13	BRNCTXA	Brain_Cortex	Brain - Cortex	yellow2	Cortex	0.0333823204636	30.8
14	BRNCTXB	Brain_Frontal_Cortex_BA9	Brain - Frontal Cortex (BA9)	yellow2	Frontal Cortex	-0.103414064199	39.7
15	BRNHPP	Brain_Hippocampus	Brain - Hippocampus	yellow2	Hippocampus	-0.0532690498804	23.29
16	BRNHPT	Brain_Hypothalamus	Brain - Hypothalamus	yellow2	Hypothalamus	0.0387731174266	31.035
17	BRNNCC	Brain_Nucleus_accumbens_basal_ganglia	Brain - Nucleus accumbens (basal ganglia)	yellow2	Nucleus Accumbens	0.00378381262273	21.495
