name	coef	coef_lower	coef_upper
roadmap_p8|0	0.642058523089587	0.599495947089587	0.684621099089587
roadmap_p4|0	0.441903558842373	0.428980102842373	0.454827014842373
roadmap_p1|0	0.166963638071764	0.148334426071764	0.185592850071764
roadmap_p6|0	0.111957113633442	0.0892734456334415	0.134640781633442
roadmap_p5|0	0.109949564652418	0.101566056652418	0.118333072652418
roadmap_p2|0	0.0157116278175418	-0.00203832818245821	0.0334615838175418
roadmap_p9|0	0.229842151033985	0.206952487033985	0.252731815033985
roadmap_p10|0	0.0452353744614364	0.000719266461436385	0.0897514824614364
roadmap_p3|0	-0.0254815878203797	-0.0764972518203797	0.0255340761796203
roadmap_p7|0	-0.501516137971941	-0.512971357971941	-0.490060917971941
roadmap_p12|0	-0.183157610234701	-0.223723730234701	-0.142591490234701
roadmap_p14|0	-0.243724786923188	-0.255085338923188	-0.232364234923188
roadmap_p13|0	-0.190765578978944	-0.214044694978944	-0.167486462978944
roadmap_p11|0	-0.1492638198909	-0.1949545558909	-0.1035730838909
